a,b,c,d,stairsum,len
7,8,4,11,26,8.6666666667
7,8,5,10,26,13
7,8,6,9,26,26
8,7,2,13,26,4.3333333333
8,7,3,12,26,5.2
8,7,4,11,26,6.5
8,7,5,10,26,8.6666666667
8,7,6,9,26,13
8,7,7,8,26,26
9,6,2,13,26,3.7142857143
9,6,3,12,26,4.3333333333
9,6,4,11,26,5.2
9,6,5,10,26,6.5
9,6,6,9,26,8.6666666667
9,6,7,8,26,13
9,6,8,7,26,26
10,5,2,13,26,3.25
10,5,3,12,26,3.7142857143
10,5,4,11,26,4.3333333333
10,5,5,10,26,5.2
10,5,6,9,26,6.5
10,5,7,8,26,8.6666666667
10,5,8,7,26,13
10,5,9,6,26,26
11,4,2,13,26,2.8888888889
11,4,3,12,26,3.25
11,4,4,11,26,3.7142857143
11,4,5,10,26,4.3333333333
11,4,6,9,26,5.2
11,4,7,8,26,6.5
11,4,8,7,26,8.6666666667
11,4,9,6,26,13
11,4,10,5,26,26
12,3,2,13,26,2.6
12,3,3,12,26,2.8888888889
12,3,4,11,26,3.25
12,3,5,10,26,3.7142857143
12,3,6,9,26,4.3333333333
12,3,7,8,26,5.2
12,3,8,7,26,6.5
12,3,9,6,26,8.6666666667
12,3,10,5,26,13
12,3,11,4,26,26
13,2,2,13,26,2.3636363636
13,2,3,12,26,2.6
13,2,4,11,26,2.8888888889
13,2,5,10,26,3.25
13,2,6,9,26,3.7142857143
13,2,7,8,26,4.3333333333
13,2,8,7,26,5.2
13,2,9,6,26,6.5
13,2,10,5,26,8.6666666667
13,2,11,4,26,13
13,2,12,3,26,26
3,13,2,14,28,28
4,12,2,14,28,14
4,12,3,13,28,28
5,11,2,14,28,9.3333333333
5,11,3,13,28,14
5,11,4,12,28,28
6,10,2,14,28,7
6,10,3,13,28,9.3333333333
6,10,4,12,28,14
6,10,5,11,28,28
7,9,2,14,28,5.6
7,9,3,13,28,7
7,9,4,12,28,9.3333333333
7,9,5,11,28,14
7,9,6,10,28,28
8,8,2,14,28,4.6666666667
8,8,3,13,28,5.6
8,8,4,12,28,7
8,8,5,11,28,9.3333333333
8,8,6,10,28,14
8,8,7,9,28,28
9,7,2,14,28,4
9,7,3,13,28,4.6666666667
9,7,4,12,28,5.6
9,7,5,11,28,7
9,7,6,10,28,9.3333333333
9,7,7,9,28,14
9,7,8,8,28,28
10,6,2,14,28,3.5
10,6,3,13,28,4
10,6,4,12,28,4.6666666667
10,6,5,11,28,5.6
10,6,6,10,28,7
10,6,7,9,28,9.3333333333
10,6,8,8,28,14
10,6,9,7,28,28
11,5,2,14,28,3.1111111111
11,5,3,13,28,3.5
11,5,4,12,28,4
11,5,5,11,28,4.6666666667
11,5,6,10,28,5.6
11,5,7,9,28,7
11,5,8,8,28,9.3333333333
11,5,9,7,28,14
11,5,10,6,28,28
12,4,2,14,28,2.8
12,4,3,13,28,3.1111111111
12,4,4,12,28,3.5
12,4,5,11,28,4
12,4,6,10,28,4.6666666667
12,4,7,9,28,5.6
12,4,8,8,28,7
12,4,9,7,28,9.3333333333
12,4,10,6,28,14
12,4,11,5,28,28
13,3,2,14,28,2.5454545455
13,3,3,13,28,2.8
13,3,4,12,28,3.1111111111
13,3,5,11,28,3.5
13,3,6,10,28,4
13,3,7,9,28,4.6666666667
13,3,8,8,28,5.6
13,3,9,7,28,7
13,3,10,6,28,9.3333333333
13,3,11,5,28,14
13,3,12,4,28,28
14,2,2,14,28,2.3333333333
14,2,3,13,28,2.5454545455
14,2,4,12,28,2.8
14,2,5,11,28,3.1111111111
14,2,6,10,28,3.5
14,2,7,9,28,4
14,2,8,8,28,4.6666666667
14,2,9,7,28,5.6
14,2,10,6,28,7
14,2,11,5,28,9.3333333333
14,2,12,4,28,14
14,2,13,3,28,28
3,14,2,15,30,30
4,13,2,15,30,15
4,13,3,14,30,30
5,12,2,15,30,10
5,12,3,14,30,15
5,12,4,13,30,30
6,11,2,15,30,7.5
6,11,3,14,30,10
6,11,4,13,30,15
6,11,5,12,30,30
7,10,2,15,30,6
7,10,3,14,30,7.5
7,10,4,13,30,10
7,10,5,12,30,15
7,10,6,11,30,30
8,9,2,15,30,5
8,9,3,14,30,6
8,9,4,13,30,7.5
8,9,5,12,30,10
8,9,6,11,30,15
8,9,7,10,30,30
9,8,2,15,30,4.2857142857
9,8,3,14,30,5
9,8,4,13,30,6
9,8,5,12,30,7.5
9,8,6,11,30,10
9,8,7,10,30,15
9,8,8,9,30,30
10,7,2,15,30,3.75
10,7,3,14,30,4.2857142857
10,7,4,13,30,5
10,7,5,12,30,6
10,7,6,11,30,7.5
10,7,7,10,30,10
10,7,8,9,30,15
10,7,9,8,30,30
11,6,2,15,30,3.3333333333
11,6,3,14,30,3.75
11,6,4,13,30,4.2857142857
11,6,5,12,30,5
11,6,6,11,30,6
11,6,7,10,30,7.5
11,6,8,9,30,10
11,6,9,8,30,15
11,6,10,7,30,30
12,5,2,15,30,3
12,5,3,14,30,3.3333333333
12,5,4,13,30,3.75
12,5,5,12,30,4.2857142857
12,5,6,11,30,5
12,5,7,10,30,6
12,5,8,9,30,7.5
12,5,9,8,30,10
12,5,10,7,30,15
12,5,11,6,30,30
13,4,2,15,30,2.7272727273
13,4,3,14,30,3
13,4,4,13,30,3.3333333333
13,4,5,12,30,3.75
13,4,6,11,30,4.2857142857
13,4,7,10,30,5
13,4,8,9,30,6
13,4,9,8,30,7.5
13,4,10,7,30,10
13,4,11,6,30,15
13,4,12,5,30,30
14,3,2,15,30,2.5
14,3,3,14,30,2.7272727273
14,3,4,13,30,3
14,3,5,12,30,3.3333333333
14,3,6,11,30,3.75
14,3,7,10,30,4.2857142857
14,3,8,9,30,5
14,3,9,8,30,6
14,3,10,7,30,7.5
14,3,11,6,30,10
14,3,12,5,30,15
14,3,13,4,30,30
15,2,2,15,30,2.3076923077
15,2,3,14,30,2.5
15,2,4,13,30,2.7272727273
15,2,5,12,30,3
15,2,6,11,30,3.3333333333
15,2,7,10,30,3.75
15,2,8,9,30,4.2857142857
15,2,9,8,30,5
15,2,10,7,30,6
15,2,11,6,30,7.5
15,2,12,5,30,10
15,2,13,4,30,15
15,2,14,3,30,30
3,15,2,16,32,32
4,14,2,16,32,16
4,14,3,15,32,32
5,13,2,16,32,10.6666666667
5,13,3,15,32,16
5,13,4,14,32,32
6,12,2,16,32,8
6,12,3,15,32,10.6666666667
6,12,4,14,32,16
6,12,5,13,32,32
7,11,2,16,32,6.4
7,11,3,15,32,8
7,11,4,14,32,10.6666666667
7,11,5,13,32,16
7,11,6,12,32,32
8,10,2,16,32,5.3333333333
8,10,3,15,32,6.4
8,10,4,14,32,8
8,10,5,13,32,10.6666666667
8,10,6,12,32,16
8,10,7,11,32,32
9,9,2,16,32,4.5714285714
9,9,3,15,32,5.3333333333
9,9,4,14,32,6.4
9,9,5,13,32,8
9,9,6,12,32,10.6666666667
9,9,7,11,32,16
9,9,8,10,32,32
10,8,2,16,32,4
10,8,3,15,32,4.5714285714
10,8,4,14,32,5.3333333333
10,8,5,13,32,6.4
10,8,6,12,32,8
10,8,7,11,32,10.6666666667
10,8,8,10,32,16
10,8,9,9,32,32
11,7,2,16,32,3.5555555556
11,7,3,15,32,4
11,7,4,14,32,4.5714285714
11,7,5,13,32,5.3333333333
11,7,6,12,32,6.4
11,7,7,11,32,8
11,7,8,10,32,10.6666666667
11,7,9,9,32,16
11,7,10,8,32,32
12,6,2,16,32,3.2
12,6,3,15,32,3.5555555556
12,6,4,14,32,4
12,6,5,13,32,4.5714285714
12,6,6,12,32,5.3333333333
12,6,7,11,32,6.4
12,6,8,10,32,8
12,6,9,9,32,10.6666666667
12,6,10,8,32,16
12,6,11,7,32,32
13,5,2,16,32,2.9090909091
13,5,3,15,32,3.2
13,5,4,14,32,3.5555555556
13,5,5,13,32,4
13,5,6,12,32,4.5714285714
13,5,7,11,32,5.3333333333
13,5,8,10,32,6.4
13,5,9,9,32,8
13,5,10,8,32,10.6666666667
13,5,11,7,32,16
13,5,12,6,32,32
14,4,2,16,32,2.6666666667
14,4,3,15,32,2.9090909091
14,4,4,14,32,3.2
14,4,5,13,32,3.5555555556
14,4,6,12,32,4
14,4,7,11,32,4.5714285714
14,4,8,10,32,5.3333333333
14,4,9,9,32,6.4
14,4,10,8,32,8
14,4,11,7,32,10.6666666667
14,4,12,6,32,16
14,4,13,5,32,32
15,3,2,16,32,2.4615384615
15,3,3,15,32,2.6666666667
15,3,4,14,32,2.9090909091
15,3,5,13,32,3.2
15,3,6,12,32,3.5555555556
15,3,7,11,32,4
15,3,8,10,32,4.5714285714
15,3,9,9,32,5.3333333333
15,3,10,8,32,6.4
15,3,11,7,32,8
15,3,12,6,32,10.6666666667
15,3,13,5,32,16
15,3,14,4,32,32
16,2,2,16,32,2.2857142857
16,2,3,15,32,2.4615384615
16,2,4,14,32,2.6666666667
16,2,5,13,32,2.9090909091
16,2,6,12,32,3.2
16,2,7,11,32,3.5555555556
16,2,8,10,32,4
16,2,9,9,32,4.5714285714
16,2,10,8,32,5.3333333333
16,2,11,7,32,6.4
16,2,12,6,32,8
16,2,13,5,32,10.6666666667
16,2,14,4,32,16
16,2,15,3,32,32
3,16,2,17,34,34
4,15,2,17,34,17
4,15,3,16,34,34
5,14,2,17,34,11.3333333333
5,14,3,16,34,17
5,14,4,15,34,34
6,13,2,17,34,8.5
6,13,3,16,34,11.3333333333
6,13,4,15,34,17
6,13,5,14,34,34
7,12,2,17,34,6.8
7,12,3,16,34,8.5
7,12,4,15,34,11.3333333333
7,12,5,14,34,17
7,12,6,13,34,34
8,11,2,17,34,5.6666666667
8,11,3,16,34,6.8
8,11,4,15,34,8.5
8,11,5,14,34,11.3333333333
8,11,6,13,34,17
8,11,7,12,34,34
9,10,2,17,34,4.8571428571
9,10,3,16,34,5.6666666667
9,10,4,15,34,6.8
9,10,5,14,34,8.5
9,10,6,13,34,11.3333333333
9,10,7,12,34,17
9,10,8,11,34,34
10,9,2,17,34,4.25
10,9,3,16,34,4.8571428571
10,9,4,15,34,5.6666666667
10,9,5,14,34,6.8
10,9,6,13,34,8.5
10,9,7,12,34,11.3333333333
10,9,8,11,34,17
10,9,9,10,34,34
11,8,2,17,34,3.7777777778
11,8,3,16,34,4.25
11,8,4,15,34,4.8571428571
11,8,5,14,34,5.6666666667
11,8,6,13,34,6.8
11,8,7,12,34,8.5
11,8,8,11,34,11.3333333333
11,8,9,10,34,17
11,8,10,9,34,34
12,7,2,17,34,3.4
12,7,3,16,34,3.7777777778
12,7,4,15,34,4.25
12,7,5,14,34,4.8571428571
12,7,6,13,34,5.6666666667
12,7,7,12,34,6.8
12,7,8,11,34,8.5
12,7,9,10,34,11.3333333333
12,7,10,9,34,17
12,7,11,8,34,34
13,6,2,17,34,3.0909090909
13,6,3,16,34,3.4
13,6,4,15,34,3.7777777778
13,6,5,14,34,4.25
13,6,6,13,34,4.8571428571
13,6,7,12,34,5.6666666667
13,6,8,11,34,6.8
13,6,9,10,34,8.5
13,6,10,9,34,11.3333333333
13,6,11,8,34,17
13,6,12,7,34,34
14,5,2,17,34,2.8333333333
14,5,3,16,34,3.0909090909
14,5,4,15,34,3.4
14,5,5,14,34,3.7777777778
14,5,6,13,34,4.25
14,5,7,12,34,4.8571428571
14,5,8,11,34,5.6666666667
14,5,9,10,34,6.8
14,5,10,9,34,8.5
14,5,11,8,34,11.3333333333
14,5,12,7,34,17
14,5,13,6,34,34
15,4,2,17,34,2.6153846154
15,4,3,16,34,2.8333333333
15,4,4,15,34,3.0909090909
15,4,5,14,34,3.4
15,4,6,13,34,3.7777777778
15,4,7,12,34,4.25
15,4,8,11,34,4.8571428571
15,4,9,10,34,5.6666666667
15,4,10,9,34,6.8
15,4,11,8,34,8.5
15,4,12,7,34,11.3333333333
15,4,13,6,34,17
15,4,14,5,34,34
16,3,2,17,34,2.4285714286
16,3,3,16,34,2.6153846154
16,3,4,15,34,2.8333333333
16,3,5,14,34,3.0909090909
16,3,6,13,34,3.4
16,3,7,12,34,3.7777777778
16,3,8,11,34,4.25
16,3,9,10,34,4.8571428571
16,3,10,9,34,5.6666666667
16,3,11,8,34,6.8
16,3,12,7,34,8.5
16,3,13,6,34,11.3333333333
16,3,14,5,34,17
16,3,15,4,34,34
17,2,2,17,34,2.2666666667
17,2,3,16,34,2.4285714286
17,2,4,15,34,2.6153846154
17,2,5,14,34,2.8333333333
17,2,6,13,34,3.0909090909
17,2,7,12,34,3.4
17,2,8,11,34,3.7777777778
17,2,9,10,34,4.25
17,2,10,9,34,4.8571428571
17,2,11,8,34,5.6666666667
17,2,12,7,34,6.8
17,2,13,6,34,8.5
17,2,14,5,34,11.3333333333
17,2,15,4,34,17
17,2,16,3,34,34
3,17,2,18,36,36
4,16,2,18,36,18
4,16,3,17,36,36
5,15,2,18,36,12
5,15,3,17,36,18
5,15,4,16,36,36
6,14,2,18,36,9
6,14,3,17,36,12
6,14,4,16,36,18
6,14,5,15,36,36
7,13,2,18,36,7.2
7,13,3,17,36,9
7,13,4,16,36,12
7,13,5,15,36,18
7,13,6,14,36,36
8,12,2,18,36,6
8,12,3,17,36,7.2
8,12,4,16,36,9
8,12,5,15,36,12
8,12,6,14,36,18
8,12,7,13,36,36
9,11,2,18,36,5.1428571429
9,11,3,17,36,6
9,11,4,16,36,7.2
9,11,5,15,36,9
9,11,6,14,36,12
9,11,7,13,36,18
9,11,8,12,36,36
10,10,2,18,36,4.5
10,10,3,17,36,5.1428571429
10,10,4,16,36,6
10,10,5,15,36,7.2
10,10,6,14,36,9
10,10,7,13,36,12
10,10,8,12,36,18
10,10,9,11,36,36
11,9,2,18,36,4
11,9,3,17,36,4.5
11,9,4,16,36,5.1428571429
11,9,5,15,36,6
11,9,6,14,36,7.2
11,9,7,13,36,9
11,9,8,12,36,12
11,9,9,11,36,18
11,9,10,10,36,36
12,8,2,18,36,3.6
12,8,3,17,36,4
12,8,4,16,36,4.5
12,8,5,15,36,5.1428571429
12,8,6,14,36,6
12,8,7,13,36,7.2
12,8,8,12,36,9
12,8,9,11,36,12
12,8,10,10,36,18
12,8,11,9,36,36
13,7,2,18,36,3.2727272727
13,7,3,17,36,3.6
13,7,4,16,36,4
13,7,5,15,36,4.5
13,7,6,14,36,5.1428571429
13,7,7,13,36,6
13,7,8,12,36,7.2
13,7,9,11,36,9
13,7,10,10,36,12
13,7,11,9,36,18
13,7,12,8,36,36
14,6,2,18,36,3
14,6,3,17,36,3.2727272727
14,6,4,16,36,3.6
14,6,5,15,36,4
14,6,6,14,36,4.5
14,6,7,13,36,5.1428571429
14,6,8,12,36,6
14,6,9,11,36,7.2
14,6,10,10,36,9
14,6,11,9,36,12
14,6,12,8,36,18
14,6,13,7,36,36
15,5,2,18,36,2.7692307692
15,5,3,17,36,3
15,5,4,16,36,3.2727272727
15,5,5,15,36,3.6
15,5,6,14,36,4
15,5,7,13,36,4.5
15,5,8,12,36,5.1428571429
15,5,9,11,36,6
15,5,10,10,36,7.2
15,5,11,9,36,9
15,5,12,8,36,12
15,5,13,7,36,18
15,5,14,6,36,36
16,4,2,18,36,2.5714285714
16,4,3,17,36,2.7692307692
16,4,4,16,36,3
16,4,5,15,36,3.2727272727
16,4,6,14,36,3.6
16,4,7,13,36,4
16,4,8,12,36,4.5
16,4,9,11,36,5.1428571429
16,4,10,10,36,6
16,4,11,9,36,7.2
16,4,12,8,36,9
16,4,13,7,36,12
16,4,14,6,36,18
16,4,15,5,36,36
17,3,2,18,36,2.4
17,3,3,17,36,2.5714285714
17,3,4,16,36,2.7692307692
17,3,5,15,36,3
17,3,6,14,36,3.2727272727
17,3,7,13,36,3.6
17,3,8,12,36,4
17,3,9,11,36,4.5
17,3,10,10,36,5.1428571429
17,3,11,9,36,6
17,3,12,8,36,7.2
17,3,13,7,36,9
17,3,14,6,36,12
17,3,15,5,36,18
17,3,16,4,36,36
18,2,2,18,36,2.25
18,2,3,17,36,2.4
18,2,4,16,36,2.5714285714
18,2,5,15,36,2.7692307692
18,2,6,14,36,3
18,2,7,13,36,3.2727272727
18,2,8,12,36,3.6
18,2,9,11,36,4
18,2,10,10,36,4.5
18,2,11,9,36,5.1428571429
18,2,12,8,36,6
18,2,13,7,36,7.2
18,2,14,6,36,9
18,2,15,5,36,12
18,2,16,4,36,18
18,2,17,3,36,36
3,18,2,19,38,38
4,17,2,19,38,19
4,17,3,18,38,38
5,16,2,19,38,12.6666666667
5,16,3,18,38,19
5,16,4,17,38,38
6,15,2,19,38,9.5
6,15,3,18,38,12.6666666667
6,15,4,17,38,19
6,15,5,16,38,38
7,14,2,19,38,7.6
7,14,3,18,38,9.5
7,14,4,17,38,12.6666666667
7,14,5,16,38,19
7,14,6,15,38,38
8,13,2,19,38,6.3333333333
8,13,3,18,38,7.6
8,13,4,17,38,9.5
8,13,5,16,38,12.6666666667
8,13,6,15,38,19
8,13,7,14,38,38
9,12,2,19,38,5.4285714286
9,12,3,18,38,6.3333333333
9,12,4,17,38,7.6
9,12,5,16,38,9.5
9,12,6,15,38,12.6666666667
9,12,7,14,38,19
9,12,8,13,38,38
10,11,2,19,38,4.75
10,11,3,18,38,5.4285714286
10,11,4,17,38,6.3333333333
10,11,5,16,38,7.6
10,11,6,15,38,9.5
10,11,7,14,38,12.6666666667
10,11,8,13,38,19
10,11,9,12,38,38
11,10,2,19,38,4.2222222222
11,10,3,18,38,4.75
11,10,4,17,38,5.4285714286
11,10,5,16,38,6.3333333333
11,10,6,15,38,7.6
11,10,7,14,38,9.5
11,10,8,13,38,12.6666666667
11,10,9,12,38,19
11,10,10,11,38,38
12,9,2,19,38,3.8
12,9,3,18,38,4.2222222222
12,9,4,17,38,4.75
12,9,5,16,38,5.4285714286
12,9,6,15,38,6.3333333333
12,9,7,14,38,7.6
12,9,8,13,38,9.5
12,9,9,12,38,12.6666666667
12,9,10,11,38,19
12,9,11,10,38,38
13,8,2,19,38,3.4545454545
13,8,3,18,38,3.8
13,8,4,17,38,4.2222222222
13,8,5,16,38,4.75
13,8,6,15,38,5.4285714286
13,8,7,14,38,6.3333333333
13,8,8,13,38,7.6
13,8,9,12,38,9.5
13,8,10,11,38,12.6666666667
13,8,11,10,38,19
13,8,12,9,38,38
14,7,2,19,38,3.1666666667
14,7,3,18,38,3.4545454545
14,7,4,17,38,3.8
14,7,5,16,38,4.2222222222
14,7,6,15,38,4.75
14,7,7,14,38,5.4285714286
14,7,8,13,38,6.3333333333
14,7,9,12,38,7.6
14,7,10,11,38,9.5
14,7,11,10,38,12.6666666667
14,7,12,9,38,19
14,7,13,8,38,38
15,6,2,19,38,2.9230769231
15,6,3,18,38,3.1666666667
15,6,4,17,38,3.4545454545
15,6,5,16,38,3.8
15,6,6,15,38,4.2222222222
15,6,7,14,38,4.75
15,6,8,13,38,5.4285714286
15,6,9,12,38,6.3333333333
15,6,10,11,38,7.6
15,6,11,10,38,9.5
15,6,12,9,38,12.6666666667
15,6,13,8,38,19
15,6,14,7,38,38
16,5,2,19,38,2.7142857143
16,5,3,18,38,2.9230769231
16,5,4,17,38,3.1666666667
16,5,5,16,38,3.4545454545
16,5,6,15,38,3.8
16,5,7,14,38,4.2222222222
16,5,8,13,38,4.75
16,5,9,12,38,5.4285714286
16,5,10,11,38,6.3333333333
16,5,11,10,38,7.6
16,5,12,9,38,9.5
16,5,13,8,38,12.6666666667
16,5,14,7,38,19
16,5,15,6,38,38
17,4,2,19,38,2.5333333333
17,4,3,18,38,2.7142857143
17,4,4,17,38,2.9230769231
17,4,5,16,38,3.1666666667
17,4,6,15,38,3.4545454545
17,4,7,14,38,3.8
17,4,8,13,38,4.2222222222
17,4,9,12,38,4.75
17,4,10,11,38,5.4285714286
17,4,11,10,38,6.3333333333
17,4,12,9,38,7.6
17,4,13,8,38,9.5
17,4,14,7,38,12.6666666667
17,4,15,6,38,19
17,4,16,5,38,38
18,3,2,19,38,2.375
18,3,3,18,38,2.5333333333
18,3,4,17,38,2.7142857143
18,3,5,16,38,2.9230769231
18,3,6,15,38,3.1666666667
18,3,7,14,38,3.4545454545
18,3,8,13,38,3.8
18,3,9,12,38,4.2222222222
18,3,10,11,38,4.75
18,3,11,10,38,5.4285714286
18,3,12,9,38,6.3333333333
18,3,13,8,38,7.6
18,3,14,7,38,9.5
18,3,15,6,38,12.6666666667
18,3,16,5,38,19
18,3,17,4,38,38
19,2,2,19,38,2.2352941176
19,2,3,18,38,2.375
19,2,4,17,38,2.5333333333
19,2,5,16,38,2.7142857143
19,2,6,15,38,2.9230769231
19,2,7,14,38,3.1666666667
19,2,8,13,38,3.4545454545
19,2,9,12,38,3.8
19,2,10,11,38,4.2222222222
19,2,11,10,38,4.75
19,2,12,9,38,5.4285714286
19,2,13,8,38,6.3333333333
19,2,14,7,38,7.6
19,2,15,6,38,9.5
19,2,16,5,38,12.6666666667
19,2,17,4,38,19
19,2,18,3,38,38
3,19,2,20,40,40
4,18,2,20,40,20
4,18,3,19,40,40
5,17,2,20,40,13.3333333333
5,17,3,19,40,20
5,17,4,18,40,40
6,16,2,20,40,10
6,16,3,19,40,13.3333333333
6,16,4,18,40,20
6,16,5,17,40,40
7,15,2,20,40,8
7,15,3,19,40,10
7,15,4,18,40,13.3333333333
7,15,5,17,40,20
7,15,6,16,40,40
8,14,2,20,40,6.6666666667
8,14,3,19,40,8
8,14,4,18,40,10
8,14,5,17,40,13.3333333333
8,14,6,16,40,20
8,14,7,15,40,40
9,13,2,20,40,5.7142857143
9,13,3,19,40,6.6666666667
9,13,4,18,40,8
9,13,5,17,40,10
9,13,6,16,40,13.3333333333
9,13,7,15,40,20
9,13,8,14,40,40
10,12,2,20,40,5
